iter	MAE
0	11312985.99
1	10666399.67
2	10222604.17
3	9574623.836
4	9012366.56
5	8542484.169
6	8030893.913
7	7578873.063
8	7135094.246
9	6798368.29
10	6498072.767
11	6355703.325
12	5954846.396
13	5603528.701
14	5449469.779
15	5136214.145
16	5082921.53
17	4841913.574
18	4758962.468
19	4506223.416
20	4288937.229
21	4215126.346
22	3979218.071
23	3828708.437
24	3675525.82
25	3509049.802
26	3362825.225
27	3252175.314
28	3114253.339
29	3015072.28
30	2940181.376
31	2834280.934
32	2774020.939
33	2741479.677
34	2730813.906
35	2662576.041
36	2611293.914
37	2602490.862
38	2554292.578
39	2493288.479
40	2426451.024
41	2374322.256
42	2367487.028
43	2356404.521
44	2301862.118
45	2293759.234
46	2251091.069
47	2222020.398
48	2215295.804
49	2179566.991
50	2144510.67
51	2110648.373
52	2092934.025
53	2083276.219
54	2060389.158
55	2036820.45
56	2028212.619
57	2025208.257
58	2002910.076
59	1998119.594
60	1977328.319
61	1974698.857
62	1968615.737
63	1963007.3
64	1940321.46
65	1921179.499
66	1905456.76
67	1889705.852
68	1884428.655
69	1863227.754
70	1852264.833
71	1841944.219
72	1832104.082
73	1826166.869
74	1814244.281
75	1804992.538
76	1793867.513
77	1785367.984
78	1780674.544
79	1771808.311
80	1764951.074
81	1761758.548
82	1754389.111
83	1743199.722
84	1735029.928
85	1726197.483
86	1722288.796
87	1716844.179
88	1711381.494
89	1707925.319
90	1701615.215
91	1700142.393
92	1695698.912
93	1692763.802
94	1689813.028
95	1685026.867
96	1682257.305
97	1673296.337
98	1669762.08
99	1665620.411
100	1662819.474
101	1659276.159
102	1653043.31
103	1645421.162
104	1640944.007
105	1637266.015
106	1631890.571
107	1624371.614
108	1621075.807
109	1615613.616
110	1612651.344
111	1605315.857
112	1599104.28
113	1595668.143
114	1592168.333
115	1587972.577
116	1582672.56
117	1576546.265
118	1571898.712
119	1566998.301
120	1560605.989
121	1559003.298
122	1554834.526
123	1552715.707
124	1551050.794
125	1547359.131
126	1533276.766
127	1530617.447
128	1525370.51
129	1519728.833
130	1517416.44
131	1515878.846
132	1514003.266
133	1508820.634
134	1504798.397
135	1499141.257
136	1497695.336
137	1496114.385
138	1493486.106
139	1492357.107
140	1489660.159
141	1486036.716
142	1484622.91
143	1483577.084
144	1480701.48
145	1477887.03
146	1475766.571
147	1472957.337
148	1471355.701
149	1458351.899
150	1456082.285
151	1451135.336
152	1450082.575
153	1447749.504
154	1439376.664
155	1435276.454
156	1432556.77
157	1427099.915
158	1423633.394
159	1422208.795
160	1419213.491
161	1417007.354
162	1416287.929
163	1414051.152
164	1409878.923
165	1407505.676
166	1405632.393
167	1404725.301
168	1402580.593
169	1401403.276
170	1400180.625
171	1398927.451
172	1396484.958
173	1395484.06
174	1394174.977
175	1393254.102
176	1391770.546
177	1390562.157
178	1387399.223
179	1385833.237
180	1381489.85
181	1379444.297
182	1378075.41
183	1375298.195
184	1372989.481
185	1369057.016
186	1368156.107
187	1365951.798
188	1363229.85
189	1359095.315
190	1355979.812
191	1354244.376
192	1351571.711
193	1350321.974
194	1349614.741
195	1348591.684
196	1347038.28
197	1344080.666
198	1342961.092
199	1341890.596
200	1340839.224
201	1338678.724
202	1337256.582
203	1336310.626
204	1333730.35
205	1333122.281
206	1331829.39
207	1330824.403
208	1330396.125
209	1328710.742
210	1325776.605
211	1322263.965
212	1321251.099
213	1320839.904
214	1319530.247
215	1318092.897
216	1316597.897
217	1309614.884
218	1308719.724
219	1307427.536
220	1305599.501
221	1303404.125
222	1301883.934
223	1297891.035
224	1296557.248
225	1295020.75
226	1294274.632
227	1291989.446
228	1289198.876
229	1288384.596
230	1283629.942
231	1280840.615
232	1280048.33
233	1278480.79
234	1277191.841
235	1276300.053
236	1271613.036
237	1270422.807
238	1269043.743
239	1266817.319
240	1265931.695
241	1264752.408
242	1263574.687
243	1262744.978
244	1262205.489
245	1260652.925
246	1256925.962
247	1254280.768
248	1252714.826
249	1251905.509
250	1249829.43
251	1248096.762
252	1247409.91
253	1245818.469
254	1245191.659
255	1244566.613
256	1243849.146
257	1243262.191
258	1241700.522
259	1240663.645
260	1238240.453
261	1237423.869
262	1236609.412
263	1235423.84
264	1233975.068
265	1232079.239
266	1231648.46
267	1231135.302
268	1230727.112
269	1229088.631
270	1227879.24
271	1227321.066
272	1227036.145
273	1225549.909
274	1224128.979
275	1223600.818
276	1218400.382
277	1217013.133
278	1214705.573
279	1213662.29
280	1211641.367
281	1210886.186
282	1209294.394
283	1197650.495
284	1196742.846
285	1194483.624
286	1193314.587
287	1192611.091
288	1191958.006
289	1188950.088
290	1188452.997
291	1188188.667
292	1186732.929
293	1186061.499
294	1185075.64
295	1183850.032
296	1182904.527
297	1180063.449
298	1175433.531
299	1175043.553
300	1174361.946
301	1173884.846
302	1172874.581
303	1172339.43
304	1171447.983
305	1169870.952
306	1169518.088
307	1167383.11
308	1167122.386
309	1166374.614
310	1165267.314
311	1164475.015
312	1164055.616
313	1163833.852
314	1162483.011
315	1161173.802
