iter	Passed	Remaining
0	0	350
1	0	335
2	0	310
3	0	356
4	1	382
5	1	386
6	1	371
7	1	358
8	2	347
9	2	337
10	2	330
11	2	324
12	2	318
13	2	313
14	3	319
15	3	326
16	3	332
17	4	335
18	4	338
19	4	342
20	4	344
21	5	343
22	5	338
23	5	335
24	5	331
25	5	328
26	5	324
27	6	321
28	6	318
29	6	316
30	6	314
31	6	312
32	6	310
33	7	307
34	7	306
35	7	305
36	7	303
37	7	307
38	8	312
39	8	312
40	8	312
41	9	313
42	9	313
43	9	314
44	9	315
45	10	337
46	10	334
47	10	332
48	11	330
49	11	329
50	11	327
51	11	325
52	11	324
53	12	322
54	12	321
55	12	322
56	12	322
57	12	320
58	13	319
59	13	318
60	13	316
61	13	314
62	13	313
63	13	312
64	14	311
65	14	310
66	14	309
67	14	310
68	14	309
69	15	308
70	15	307
71	15	306
72	15	305
73	15	304
74	15	303
75	16	302
76	16	301
77	16	300
78	16	299
79	16	298
80	16	297
81	17	296
82	17	295
83	17	294
84	17	293
85	17	293
86	18	292
87	18	291
88	18	290
89	18	290
90	18	289
91	18	288
92	19	288
93	19	289
94	19	288
95	19	288
96	19	287
97	20	286
98	20	285
99	20	285
100	20	285
101	20	285
102	21	285
103	21	284
104	21	284
105	21	283
106	21	283
107	21	282
108	22	282
109	22	282
110	22	281
111	22	281
112	22	280
113	23	279
114	23	279
115	23	278
116	23	278
117	23	277
118	23	277
119	24	276
120	24	276
121	24	276
122	24	276
123	24	275
124	25	275
125	25	274
126	25	274
127	25	273
128	25	273
129	25	272
130	26	272
131	26	271
132	26	271
133	26	270
134	26	270
135	26	270
136	27	269
137	27	269
138	27	270
139	27	270
140	28	270
141	28	270
142	28	270
143	28	269
144	28	269
145	29	269
146	29	270
147	29	270
148	29	271
149	30	270
150	30	270
151	30	269
152	30	269
153	30	269
154	30	268
155	31	268
156	31	267
157	31	267
158	31	267
159	31	266
160	32	266
161	32	265
162	32	265
163	32	264
164	32	264
165	32	263
166	33	263
167	33	263
168	33	263
169	33	262
170	33	262
171	33	262
172	34	262
173	34	261
174	34	261
175	34	261
176	34	260
177	35	260
178	35	260
179	35	259
180	35	259
181	35	258
182	35	258
183	36	258
184	36	258
185	36	257
186	36	257
187	36	257
188	37	256
189	37	256
190	37	256
191	37	256
192	37	255
193	37	255
194	38	255
195	38	254
196	38	254
197	38	253
198	38	253
199	38	253
200	39	253
201	39	252
202	39	252
203	39	252
204	39	251
205	40	251
206	40	250
207	40	250
208	40	250
209	40	249
210	40	249
211	41	249
212	41	248
213	41	248
214	41	248
215	41	247
216	41	247
217	42	247
218	42	247
219	42	246
220	42	246
221	42	246
222	43	250
223	43	249
224	44	249
225	44	249
226	44	248
227	44	248
228	44	248
229	44	247
230	45	247
231	45	247
232	45	246
233	45	246
234	45	246
235	45	246
236	46	245
237	46	245
238	46	244
239	46	244
240	46	244
241	46	244
242	47	243
243	47	243
244	47	243
245	47	242
246	47	242
247	48	242
248	48	242
249	48	241
250	48	241
251	48	241
252	48	241
253	49	241
254	49	241
255	49	240
256	49	240
257	49	240
258	50	240
259	50	240
260	50	240
261	50	240
262	51	239
263	51	239
264	51	239
265	51	239
266	51	239
267	51	238
268	52	238
269	52	238
270	52	238
271	52	238
272	53	238
273	53	238
274	53	238
275	53	237
276	53	237
277	53	237
278	54	236
279	54	236
280	54	236
281	54	235
282	54	235
283	54	235
284	55	235
285	55	234
286	55	234
287	55	234
288	55	233
289	55	233
290	56	233
291	56	233
292	56	232
293	56	232
294	56	232
295	57	232
296	57	231
297	57	231
298	57	231
299	57	230
300	57	230
301	58	230
302	58	230
303	58	230
304	58	230
305	58	229
306	59	229
307	59	229
308	59	228
309	59	228
310	59	228
311	59	228
312	60	230
313	60	230
314	61	229
315	61	229
316	61	229
317	61	229
318	61	228
319	61	228
320	62	228
321	62	227
322	62	227
323	62	227
324	62	227
325	62	226
326	63	226
327	63	226
328	63	226
329	63	225
330	63	225
331	64	225
332	64	225
333	64	225
334	64	224
335	64	224
336	65	224
337	65	224
338	65	224
339	65	224
340	66	224
341	66	224
342	66	224
343	66	224
344	67	224
345	67	224
346	67	223
347	67	223
348	67	223
349	68	223
350	68	223
351	68	223
352	68	222
353	68	222
354	68	222
355	69	221
356	69	221
357	69	221
358	69	221
359	69	220
360	69	220
361	70	220
362	70	220
363	70	219
364	70	219
365	70	219
366	71	219
367	71	219
368	71	219
369	71	219
370	71	219
371	72	218
372	72	218
373	72	218
374	72	218
375	73	218
376	73	217
377	73	217
378	73	217
379	73	217
380	73	217
381	74	216
382	74	216
383	74	216
384	74	216
385	74	215
386	74	215
387	75	215
388	75	215
389	75	214
390	75	214
391	75	214
392	75	213
393	76	213
394	76	213
395	76	213
396	76	212
397	76	212
398	76	212
399	77	212
400	77	211
401	77	211
402	77	211
403	77	211
404	78	211
405	78	210
406	78	210
407	78	210
408	78	210
409	78	209
410	79	209
411	79	209
412	79	209
413	79	208
414	79	208
415	79	208
416	80	208
417	81	209
418	81	209
419	81	209
420	81	209
421	81	208
422	81	208
423	82	208
424	82	208
425	82	207
426	82	207
427	82	207
428	83	207
429	83	206
430	83	206
431	83	206
432	83	206
433	83	205
434	83	205
435	84	205
436	84	205
437	84	204
438	84	204
439	84	204
440	84	204
441	85	203
442	85	203
443	85	203
444	85	203
445	85	202
446	86	202
447	86	202
448	86	202
449	86	201
450	86	201
451	86	201
452	87	201
453	87	200
454	87	200
455	87	200
456	87	200
457	87	200
458	88	199
459	88	199
460	88	199
461	88	199
462	88	199
463	89	200
464	90	200
465	90	200
466	90	199
467	90	199
468	90	199
469	91	199
470	91	199
471	91	199
472	91	199
473	91	199
474	92	199
475	92	198
476	92	198
477	92	198
478	92	198
479	93	198
480	93	197
481	93	197
482	93	197
483	93	197
484	94	196
485	94	196
486	94	196
487	94	196
488	94	195
489	94	195
490	95	195
491	95	195
492	95	195
493	95	194
494	95	194
495	96	194
496	96	194
497	96	194
498	96	194
499	97	194
500	97	193
501	97	193
502	97	193
503	97	193
504	97	193
505	98	192
506	98	192
507	98	192
508	98	192
509	98	192
510	99	191
511	99	191
512	99	191
513	99	191
514	99	190
515	99	190
516	100	190
517	100	190
518	100	190
519	100	189
520	100	189
521	101	189
522	101	189
523	101	189
524	101	188
525	101	188
526	102	188
527	102	188
528	102	188
529	102	188
530	102	187
531	103	187
532	103	187
533	103	187
534	103	187
535	103	186
536	104	186
537	104	186
538	104	186
539	104	185
540	104	185
541	105	185
542	105	185
543	105	185
544	105	185
545	105	185
546	106	184
547	106	184
548	106	184
549	106	184
550	106	183
551	106	183
552	107	183
553	107	183
554	107	182
555	107	182
556	107	182
557	107	182
558	108	182
559	108	181
560	108	181
561	108	181
562	108	181
563	109	180
564	109	180
565	109	180
566	109	180
567	109	180
568	110	179
569	110	179
570	110	179
571	110	179
572	110	179
573	110	178
574	111	178
575	111	178
576	111	178
577	111	178
578	111	177
579	112	177
580	112	177
581	112	177
582	112	177
583	112	176
584	113	176
585	113	176
586	113	176
587	113	176
588	113	175
589	113	175
590	114	175
591	114	175
592	114	175
593	114	174
594	114	174
595	114	174
596	115	174
597	115	173
598	115	173
599	115	173
600	115	173
601	115	173
602	116	172
603	116	172
604	116	172
605	116	172
606	116	171
607	117	171
608	117	171
609	117	171
610	117	171
611	117	170
612	117	170
613	118	170
614	118	170
615	118	169
616	118	169
617	118	169
618	118	169
619	119	169
620	119	168
621	119	168
622	119	168
623	120	169
624	120	169
625	121	169
626	121	168
627	121	168
628	122	168
629	122	169
630	122	168
631	122	168
632	123	168
633	124	169
634	124	169
635	124	169
636	124	168
637	124	168
638	125	168
639	125	168
640	125	168
641	125	167
642	125	167
643	125	167
644	126	167
645	126	167
646	126	166
647	127	167
648	127	167
649	127	166
650	127	166
651	127	166
652	128	166
653	128	165
654	128	165
655	128	165
656	128	165
657	129	165
658	129	164
659	129	164
660	129	164
661	129	164
662	129	164
663	130	163
664	130	163
665	130	163
666	130	163
667	130	162
668	131	162
669	131	162
670	131	162
671	131	162
672	131	161
673	131	161
674	132	161
675	132	161
676	132	160
677	132	160
678	132	160
679	132	160
680	133	160
681	133	159
682	133	159
683	133	159
684	133	159
685	133	158
686	134	158
687	134	158
688	134	158
689	134	158
690	134	157
691	134	157
692	135	157
693	135	157
694	135	157
695	135	156
696	136	156
697	136	156
698	136	156
699	136	156
700	136	155
701	136	155
702	137	155
703	137	155
704	137	154
705	137	154
706	137	154
707	137	154
708	138	154
709	138	153
710	138	153
711	138	153
712	138	153
713	139	153
714	139	152
715	139	152
716	139	152
717	139	152
718	139	151
719	140	151
720	140	151
721	140	151
722	140	151
723	140	150
724	140	150
725	141	150
726	141	150
727	141	150
728	141	149
729	141	149
730	141	149
731	142	149
732	142	148
733	142	148
734	142	148
735	142	148
736	143	148
737	143	147
738	143	147
739	143	147
740	143	147
741	143	146
742	144	146
743	144	146
744	144	146
745	144	146
746	144	146
747	145	145
748	145	145
749	145	145
750	145	145
751	145	144
752	145	144
753	146	144
754	146	144
755	146	144
756	146	143
757	146	143
758	146	143
759	147	143
760	147	143
761	147	142
762	147	142
763	147	142
764	148	142
765	148	142
766	148	141
767	148	141
768	148	141
769	149	141
770	149	141
771	149	140
772	149	140
773	149	140
774	149	140
775	150	139
776	150	139
777	150	139
778	150	139
779	150	139
780	150	138
781	151	138
782	151	138
783	151	138
784	151	138
785	151	137
786	151	137
787	152	137
788	152	137
789	152	137
790	152	136
791	152	136
792	153	136
793	153	136
794	153	135
795	153	135
796	153	135
797	153	135
798	154	135
799	154	134
800	154	134
801	154	134
802	154	134
803	154	134
804	155	133
805	155	133
806	155	133
807	155	133
808	155	133
809	156	132
810	156	132
811	156	132
812	156	132
813	156	132
814	156	131
815	157	131
816	157	131
817	157	131
818	157	131
819	157	130
820	158	130
821	158	130
822	158	130
823	158	130
824	158	129
825	158	129
826	158	129
827	159	129
828	159	128
829	159	128
830	159	128
831	159	128
832	160	128
833	160	127
834	160	127
835	160	127
836	160	127
837	160	127
838	161	126
839	161	126
840	161	126
841	161	126
842	161	126
843	161	125
844	162	125
845	162	125
846	162	125
847	162	125
848	162	124
849	162	124
850	163	124
851	163	124
852	163	123
853	163	123
854	163	123
855	164	123
856	164	123
857	164	122
858	164	122
859	164	122
860	164	122
861	165	122
862	165	121
863	165	121
864	165	121
865	165	121
866	165	121
867	166	121
868	166	120
869	166	120
870	166	120
871	166	120
872	167	120
873	167	119
874	167	119
875	167	119
876	167	119
877	167	118
878	168	118
879	168	118
880	168	118
881	168	118
882	168	117
883	168	117
884	169	117
885	169	117
886	169	117
887	169	116
888	169	116
889	169	116
890	170	116
891	170	116
892	170	115
893	170	115
894	170	115
895	170	115
896	171	115
897	171	114
898	171	114
899	171	114
900	171	114
901	171	114
902	172	113
903	172	113
904	172	113
905	172	113
906	172	112
907	172	112
908	173	112
909	173	112
910	173	112
911	173	111
912	173	111
913	173	111
914	173	111
915	174	111
916	174	110
917	174	110
918	174	110
919	174	110
920	174	109
921	175	109
922	175	109
923	175	109
924	175	109
925	175	108
926	175	108
927	176	108
928	176	108
