classifier,base,top,base_rmse,sr_rmse,base_std,sr_std,train_rmse_base,train_rmse_top
lightgbm,catboost,catboost,744878.6058040925,598429.8281598833,136497.08944595215,123830.35942971286,192759.36301311755,261736.33900436852
gradient_boosting,catboost,catboost,744878.6058040925,600070.0939479542,136497.08944595215,123479.85498181304,192759.36301311755,261736.33900436852
xgb,catboost,catboost,744878.6058040925,600204.6688710793,136497.08944595215,123688.22571468214,192759.36301311755,261736.33900436852
lightgbm,lightgbm,catboost,727429.4874905053,601099.0798415522,156815.26980197724,123128.97942541938,174925.22849869766,261736.33900436852
random_forest,catboost,catboost,744878.6058040925,601553.6608068234,136497.08944595215,123210.37119817073,192759.36301311755,261736.33900436852
xgb,lightgbm,catboost,727429.4874905053,602125.7601636031,156815.26980197724,122981.10841059133,174925.22849869766,261736.33900436852
catboost,catboost,catboost,744878.6058040925,602198.4641483888,136497.08944595215,123334.14579131888,192759.36301311755,261736.33900436852
gradient_boosting,lightgbm,catboost,727429.4874905053,602703.8804599124,156815.26980197724,122870.93688514475,174925.22849869766,261736.33900436852
random_forest,lightgbm,catboost,727429.4874905053,603819.2474699799,156815.26980197724,121757.25403130645,174925.22849869766,261736.33900436852
catboost,lightgbm,catboost,727429.4874905053,604909.208989993,156815.26980197724,122327.70351275413,174925.22849869766,261736.33900436852
lightgbm,random_forest,catboost,791190.0170562931,605020.0847226966,120913.45605716086,123184.01840671581,298351.22231750767,261736.33900436852
xgb,random_forest,catboost,791190.0170562931,606045.3306660497,120913.45605716086,123562.51775491404,298351.22231750767,261736.33900436852
gradient_boosting,random_forest,catboost,791190.0170562931,606376.0895990677,120913.45605716086,123290.8467015808,298351.22231750767,261736.33900436852
lightgbm,xgb,catboost,797715.5457271275,607601.0527797404,144114.76071180342,124677.46444984587,233470.35245795004,261736.33900436852
catboost,random_forest,catboost,791190.0170562931,608939.4508523081,120913.45605716086,122162.03785186443,298351.22231750767,261736.33900436852
gradient_boosting,xgb,catboost,797715.5457271275,609113.1803056516,144114.76071180342,122673.85599520167,233470.35245795004,261736.33900436852
random_forest,random_forest,catboost,791190.0170562931,609265.6551087935,120913.45605716086,119587.0903498105,298351.22231750767,261736.33900436852
xgb,xgb,catboost,797715.5457271275,609577.8077425532,144114.76071180342,123875.10386225423,233470.35245795004,261736.33900436852
random_forest,xgb,catboost,797715.5457271275,611014.9105809921,144114.76071180342,120566.91328860282,233470.35245795004,261736.33900436852
catboost,xgb,catboost,797715.5457271275,611246.3388733522,144114.76071180342,121466.29594725365,233470.35245795004,261736.33900436852
lightgbm,gradient_boosting,catboost,681669.6647698468,617543.0407399309,117441.95274694164,118904.0842746237,316817.36838980997,261736.33900436852
gradient_boosting,gradient_boosting,catboost,681669.6647698468,619446.3538638715,117441.95274694164,118109.92374764272,316817.36838980997,261736.33900436852
xgb,gradient_boosting,catboost,681669.6647698468,619948.6325172432,117441.95274694164,118465.56523615068,316817.36838980997,261736.33900436852
catboost,gradient_boosting,catboost,681669.6647698468,621724.7958459837,117441.95274694164,117624.3773600619,316817.36838980997,261736.33900436852
random_forest,gradient_boosting,catboost,681669.6647698468,622695.6113147624,117441.95274694164,116183.66222436658,316817.36838980997,261736.33900436852
lightgbm,catboost,xgb,744878.6058040925,629903.8429424886,136497.08944595215,105626.61183308058,192759.36301311755,385859.08784573665
gradient_boosting,catboost,xgb,744878.6058040925,632223.4399288677,136497.08944595215,104599.70086416586,192759.36301311755,385859.08784573665
lightgbm,lightgbm,xgb,727429.4874905053,632286.894474309,156815.26980197724,105251.32792059322,174925.22849869766,385859.08784573665
xgb,catboost,xgb,744878.6058040925,634606.1512326087,136497.08944595215,103841.07065791026,192759.36301311755,385859.08784573665
gradient_boosting,lightgbm,xgb,727429.4874905053,634723.4543835083,156815.26980197724,104030.85654059425,174925.22849869766,385859.08784573665
random_forest,catboost,xgb,744878.6058040925,635222.4989488142,136497.08944595215,101226.14819295755,192759.36301311755,385859.08784573665
lightgbm,random_forest,xgb,791190.0170562931,636456.0425278769,120913.45605716086,103836.32072149907,298351.22231750767,385859.08784573665
xgb,lightgbm,xgb,727429.4874905053,636720.3016965507,156815.26980197724,103098.594436783,174925.22849869766,385859.08784573665
random_forest,lightgbm,xgb,727429.4874905053,637804.1428292927,156815.26980197724,98453.43202071388,174925.22849869766,385859.08784573665
lightgbm,xgb,xgb,797715.5457271275,638556.7341430808,144114.76071180342,106914.64133271363,233470.35245795004,385859.08784573665
gradient_boosting,random_forest,xgb,791190.0170562931,638693.1214191332,120913.45605716086,102804.80285618581,298351.22231750767,385859.08784573665
catboost,catboost,xgb,744878.6058040925,638714.0576452068,136497.08944595215,102845.03318482092,192759.36301311755,385859.08784573665
xgb,random_forest,xgb,791190.0170562931,640152.9537311064,120913.45605716086,102445.95473815512,298351.22231750767,385859.08784573665
gradient_boosting,xgb,xgb,797715.5457271275,640884.1876231717,144114.76071180342,104927.73884782718,233470.35245795004,385859.08784573665
catboost,lightgbm,xgb,727429.4874905053,641806.9546261774,156815.26980197724,101936.51915577141,174925.22849869766,385859.08784573665
xgb,xgb,xgb,797715.5457271275,643635.62919318,144114.76071180342,104500.51524523823,233470.35245795004,385859.08784573665
random_forest,random_forest,xgb,791190.0170562931,643972.9640567431,120913.45605716086,96886.45502386057,298351.22231750767,385859.08784573665
random_forest,xgb,xgb,797715.5457271275,645146.0872004639,144114.76071180342,99275.10364990725,233470.35245795004,385859.08784573665
catboost,random_forest,xgb,791190.0170562931,645550.5987903291,120913.45605716086,100701.41986026522,298351.22231750767,385859.08784573665
lightgbm,gradient_boosting,xgb,681669.6647698468,647689.2092871512,117441.95274694164,102154.48968332865,316817.36838980997,385859.08784573665
catboost,xgb,xgb,797715.5457271275,647896.6274030427,144114.76071180342,102118.85258262897,233470.35245795004,385859.08784573665
gradient_boosting,gradient_boosting,xgb,681669.6647698468,650303.7486395859,117441.95274694164,100927.46232500917,316817.36838980997,385859.08784573665
xgb,gradient_boosting,xgb,681669.6647698468,652745.9175480204,117441.95274694164,101048.1858915046,316817.36838980997,385859.08784573665
random_forest,catboost,gradient_boosting,744878.6058040925,656455.8668280626,136497.08944595215,105394.98356542927,192759.36301311755,794964.5842305706
random_forest,gradient_boosting,xgb,681669.6647698468,656518.636861285,117441.95274694164,97700.07094456277,316817.36838980997,385859.08784573665
catboost,gradient_boosting,xgb,681669.6647698468,656873.4758474346,117441.95274694164,99681.8092960048,316817.36838980997,385859.08784573665
